city_id,run_date,n_panos,n_quality,q_p10,q_p25,q_p50,q_p75,q_p90,pct_ge_good,pct_lt_poor,n_sequences,n_seq_mixed_foot,n_seq_mixed_org,seq_q_p25,seq_q_p50,seq_q_p75,n_foot_known,n_panos_on_foot,pct_on_foot,q_p50_on_foot,q_p50_vehicle,n_seq_on_foot,n_seq_vehicle,seq_q_p50_on_foot,seq_q_p50_vehicle,n_with_org,n_distinct_orgs,q_p50_org,q_p50_no_org,n_seq_org,n_seq_no_org,seq_q_p50_org,seq_q_p50_no_org,pct_with_org
decatur--mississippi--united-states,2026-08-06,1855,1855,0.681,0.726,0.771,0.807,0.838,0.0539,0.2695,2,0,0,0.742,0.756,0.77,1855,0,0.0,,0.771,0,2,,0.756,0,0,,0.771,0,2,,0.756,0.0
del-mar--california--united-states,2026-08-06,3224,3224,0.673,0.775,0.863,0.89,0.908,17.2146,5.8002,22,0,0,0.726,0.8313,0.8705,3224,3173,98.4181,0.864,0.836,20,2,0.8387,0.7378,0,0,,0.863,0,22,,0.8313,0.0
denver--colorado--united-states,2026-08-08,1017564,1017564,0.836,0.865,0.885,0.9,0.912,25.5242,0.0875,24581,0,0,0.867,0.89,0.904,1017564,583,0.0573,0.788,0.885,55,24526,0.827,0.89,370454,7,0.885,0.885,20680,3901,0.889,0.891,36.406
derby--connecticut--united-states,2026-08-08,44807,44807,0.669,0.783,0.839,0.877,0.9,10.4448,7.1797,419,0,0,0.793,0.84,0.8712,44807,0,0.0,,0.839,0,419,,0.84,0,0,,0.839,0,419,,0.84,0.0
des-moines--iowa--united-states,2026-08-08,352570,352570,0.737,0.772,0.811,0.844,0.873,2.3695,0.9984,880,0,0,0.783,0.8165,0.857,352570,1,0.0003,0.855,0.811,1,879,0.855,0.816,3644,1,0.913,0.81,3,877,0.914,0.816,1.0336
detroit--michigan--united-states,2026-08-17,15433401,15433401,0.849,0.873,0.892,0.908,0.919,37.7362,0.2584,54023,0,0,0.878,0.892,0.903,15433401,102,0.0007,0.904,0.892,1,54022,0.904,0.892,5686239,3,0.895,0.891,15147,38876,0.895,0.89,36.8437
doral--florida--united-states,2026-08-09,63114,63114,0.764,0.793,0.819,0.842,0.859,0.2361,0.1204,1041,0,0,0.802,0.824,0.843,63114,153,0.2424,0.874,0.819,1,1040,0.874,0.824,0,0,,0.819,0,1041,,0.824,0.0
douglas--arizona--united-states,2026-08-09,58370,58370,0.832,0.86,0.882,0.898,0.91,23.339,0.0,161,0,0,0.865,0.881,0.896,58370,0,0.0,,0.882,0,161,,0.881,0,0,,0.882,0,161,,0.881,0.0
dublin--indiana--united-states,2026-08-09,5695,5695,0.785,0.808,0.829,0.848,0.863,0.5443,0.0,36,0,0,0.8142,0.8247,0.8352,5695,0,0.0,,0.829,0,36,,0.8247,5658,1,0.829,0.769,35,1,0.825,0.769,99.3503
dumfries--virginia--united-states,2026-08-09,117,117,0.7146,0.736,0.771,0.815,0.833,0.0,0.0,3,0,0,0.74,0.741,0.7815,117,0,0.0,,0.771,0,3,,0.741,0,0,,0.771,0,3,,0.741,0.0
east-hollywood--california--united-states,2026-08-09,604,604,0.868,0.879,0.896,0.91,0.918,43.543,0.0,2,0,0,0.8918,0.8935,0.8952,604,0,0.0,,0.896,0,2,,0.8935,575,1,0.897,0.89,1,1,0.897,0.89,95.1987
eastport--maine--united-states,2026-08-10,22962,22962,0.779,0.811,0.834,0.858,0.877,1.4807,0.0,78,0,0,0.8125,0.833,0.854,22962,0,0.0,,0.834,0,78,,0.833,0,0,,0.834,0,78,,0.833,0.0
elgin--illinois--united-states,2026-08-10,742,742,0.8221,0.841,0.854,0.864,0.871,0.0,0.1348,3,0,0,0.851,0.853,0.8562,742,0,0.0,,0.854,0,3,,0.853,409,1,0.853,0.855,1,2,0.853,0.8542,55.1213
elgin--oregon--united-states,2026-08-10,396,396,0.6995,0.718,0.761,0.784,0.81,0.0,0.0,3,0,0,0.7425,0.768,0.7845,396,23,5.8081,0.801,0.757,1,2,0.801,0.7425,0,0,,0.761,0,3,,0.768,0.0
elizabeth--minnesota--united-states,2026-08-10,375,375,0.8312,0.858,0.885,0.901,0.9096,28.0,0.0,3,0,0,0.8627,0.8835,0.8932,375,0,0.0,,0.885,0,3,,0.8835,0,0,,0.885,0,3,,0.8835,0.0
elizabeth-city--north-carolina--united-states,2026-08-10,36110,36110,0.776,0.823,0.865,0.891,0.909,16.9371,0.2132,157,0,0,0.853,0.87,0.885,36110,0,0.0,,0.865,0,157,,0.87,0,0,,0.865,0,157,,0.87,0.0
ellensburg--washington--united-states,2026-08-10,8407,8407,0.785,0.818,0.853,0.889,0.909,16.2959,0.0,23,0,0,0.8207,0.842,0.861,8407,0,0.0,,0.853,0,23,,0.842,0,0,,0.853,0,23,,0.842,0.0
ellsworth--maine--united-states,2026-08-10,11061,11061,0.783,0.801,0.823,0.845,0.86,0.0542,0.0,8,0,0,0.8147,0.8282,0.844,11061,0,0.0,,0.823,0,8,,0.8282,11061,1,0.823,,8,0,0.8282,,100.0
eloy--arizona--united-states,2026-08-10,6046,6046,0.771,0.786,0.801,0.818,0.866,0.8435,0.1323,6,0,0,0.7983,0.8362,0.8881,6046,0,0.0,,0.801,0,6,,0.8362,0,0,,0.801,0,6,,0.8362,0.0
emmitsburg--maryland--united-states,2026-08-10,364,364,0.7893,0.813,0.835,0.849,0.86,0.0,0.0,1,0,0,0.835,0.835,0.835,364,0,0.0,,0.835,0,1,,0.835,364,1,0.835,,1,0,0.835,,100.0
englewood--colorado--united-states,2026-08-11,27048,27048,0.864,0.878,0.892,0.905,0.916,34.3427,0.0629,1146,0,0,0.8705,0.887,0.903,27048,0,0.0,,0.892,0,1146,,0.887,9860,1,0.894,0.891,1033,113,0.887,0.892,36.4537
ermelo--mpumalanga--south-africa,2026-08-11,110733,110733,0.776,0.817,0.847,0.868,0.883,2.0166,0.9853,909,0,0,0.8165,0.848,0.862,110733,0,0.0,,0.847,0,909,,0.848,0,0,,0.847,0,909,,0.848,0.0
evansville--indiana--united-states,2026-08-11,13029,13029,0.78,0.807,0.83,0.848,0.862,0.0461,0.0,71,0,0,0.815,0.827,0.834,13029,0,0.0,,0.83,0,71,,0.827,13029,3,0.83,,71,0,0.827,,100.0
everett--massachusetts--united-states,2026-08-11,13952,13952,0.191,0.82,0.877,0.902,0.9189,27.3438,19.6029,870,0,0,0.864,0.8842,0.9039,13952,0,0.0,,0.877,0,870,,0.8842,13760,3,0.878,0.849,867,3,0.8845,0.847,98.6239
everett--washington--united-states,2026-08-11,179793,179793,0.769,0.804,0.842,0.873,0.893,5.7121,0.6174,2261,0,0,0.838,0.864,0.881,179793,24,0.0133,0.082,0.842,1,2260,0.082,0.864,72016,2,0.814,0.862,82,2179,0.8115,0.865,40.055
fairbanks--alaska--united-states,2026-08-11,25947,25947,0.809,0.826,0.845,0.861,0.875,1.1639,0.0039,145,0,0,0.826,0.842,0.856,25947,0,0.0,,0.845,0,145,,0.842,0,0,,0.845,0,145,,0.842,0.0
falls-church--virginia--united-states,2026-08-11,5530,5530,0.794,0.8232,0.85,0.872,0.892,5.5335,0.0181,11,0,0,0.8415,0.846,0.8808,5530,0,0.0,,0.85,0,11,,0.846,548,1,0.842,0.851,2,9,0.8425,0.859,9.9096
fargo--north-dakota--united-states,2026-08-11,84123,84123,0.786,0.812,0.844,0.888,0.914,16.9205,0.0594,246,0,0,0.8071,0.822,0.8468,84123,262,0.3114,0.825,0.844,10,236,0.803,0.823,0,0,,0.844,0,246,,0.822,0.0
farragut--tennessee--united-states,2026-08-11,31784,31784,0.752,0.789,0.83,0.854,0.869,0.0063,0.1573,75,0,0,0.782,0.821,0.852,31784,0,0.0,,0.83,0,75,,0.821,30282,1,0.829,0.845,72,3,0.818,0.85,95.2744
fayetteville--arkansas--united-states,2026-08-11,7700,7700,0.777,0.801,0.83,0.856,0.885,4.8571,0.5974,1109,0,0,0.802,0.829,0.848,7700,12,0.1558,0.7995,0.83,1,1108,0.7995,0.829,6406,1,0.822,0.885,1103,6,0.828,0.8858,83.1948
fenwick--connecticut--united-states,2026-08-11,136,136,0.81,0.833,0.8645,0.885,0.896,7.3529,0.0,3,0,0,0.844,0.864,0.8745,136,0,0.0,,0.8645,0,3,,0.864,0,0,,0.8645,0,3,,0.864,0.0
fillmore--utah--united-states,2026-08-12,109,109,0.8458,0.853,0.859,0.863,0.87,0.0,0.0,2,0,0,0.8598,0.8605,0.8612,109,0,0.0,,0.859,0,2,,0.8605,0,0,,0.859,0,2,,0.8605,0.0
finger--tennessee--united-states,2026-08-12,1639,1639,0.783,0.811,0.839,0.868,0.897,7.6876,0.0,2,0,0,0.8475,0.864,0.8805,1639,0,0.0,,0.839,0,2,,0.864,1639,1,0.839,,2,0,0.864,,100.0
firth--idaho--united-states,2026-08-12,551,551,0.757,0.796,0.815,0.83,0.841,0.0,0.0,1,0,0,0.815,0.815,0.815,551,0,0.0,,0.815,0,1,,0.815,551,1,0.815,,1,0,0.815,,100.0
fitchburg--massachusetts--united-states,2026-08-12,613,613,0.763,0.779,0.804,0.826,0.841,0.0,0.0,2,0,0,0.8039,0.8088,0.8136,613,0,0.0,,0.804,0,2,,0.8088,0,0,,0.804,0,2,,0.8088,0.0
flagstaff--arizona--united-states,2026-08-12,16948,16948,0.785,0.817,0.849,0.887,0.931,20.3328,0.0531,21,0,0,0.839,0.85,0.8575,16948,79,0.4661,0.697,0.849,2,19,0.6887,0.85,1553,1,0.88,0.844,2,19,0.868,0.843,9.1633
flint--michigan--united-states,2026-08-12,333157,333157,0.79,0.815,0.841,0.863,0.88,1.5617,0.0207,5984,0,0,0.823,0.842,0.86,333157,73,0.0219,0.688,0.841,2,5982,0.728,0.842,1166,1,0.831,0.841,3,5981,0.831,0.842,0.35
fort-wayne--indiana--united-states,2026-08-12,27709,27709,0.744,0.802,0.84,0.868,0.887,3.9915,0.1083,44,0,0,0.799,0.838,0.8542,27709,7,0.0253,0.852,0.84,1,43,0.852,0.838,0,0,,0.84,0,44,,0.838,0.0
fort-white--florida--united-states,2026-08-12,2,2,0.7319,0.7362,0.7435,0.7508,0.7551,0.0,0.0,1,0,0,0.7435,0.7435,0.7435,2,0,0.0,,0.7435,0,1,,0.7435,0,0,,0.7435,0,1,,0.7435,0.0
foxfield--colorado--united-states,2026-08-12,682,682,0.887,0.9,0.909,0.915,0.9209,75.0733,0.0,11,0,0,0.892,0.903,0.91,682,0,0.0,,0.909,0,11,,0.903,0,0,,0.909,0,11,,0.903,0.0
framingham--massachusetts--united-states,2026-08-17,73173,73173,0.766,0.8,0.834,0.863,0.885,4.1873,0.0506,127,0,0,0.8172,0.839,0.8555,73173,0,0.0,,0.834,0,127,,0.839,38,1,0.865,0.834,1,126,0.865,0.8385,0.0519
frankfort--kentucky--united-states,2026-08-17,62,62,0.6892,0.7095,0.727,0.7792,0.7989,0.0,0.0,2,0,0,0.7391,0.7528,0.7664,62,0,0.0,,0.727,0,2,,0.7528,0,0,,0.727,0,2,,0.7528,0.0
frederick--maryland--united-states,2026-08-17,11465,11465,0.76,0.788,0.814,0.843,0.866,0.5408,1.0641,21,0,0,0.797,0.812,0.855,11465,0,0.0,,0.814,0,21,,0.812,145,1,0.877,0.813,2,19,0.8675,0.811,1.2647
fresno--california--united-states,2026-08-17,1606400,1606400,0.855,0.883,0.902,0.916,0.925,53.3664,0.3598,3331,0,0,0.885,0.903,0.915,1606400,300,0.0187,0.819,0.902,3,3328,0.8175,0.903,105219,2,0.845,0.904,296,3035,0.8538,0.905,6.55
gainesville--florida--united-states,2026-08-17,1239,1239,0.8238,0.859,0.883,0.901,0.915,26.2308,0.0,5,0,0,0.8555,0.884,0.9,1239,0,0.0,,0.883,0,5,,0.884,0,0,,0.883,0,5,,0.884,0.0
gainesville--georgia--united-states,2026-08-17,1,1,0.727,0.727,0.727,0.727,0.727,0.0,0.0,1,0,0,0.727,0.727,0.727,1,0,0.0,,0.727,0,1,,0.727,0,0,,0.727,0,1,,0.727,0.0
garland--texas--united-states,2026-08-17,8502,8502,0.729,0.771,0.812,0.845,0.864,0.5528,0.0823,36,0,0,0.7863,0.812,0.8332,8502,0,0.0,,0.812,0,36,,0.812,7337,2,0.819,0.789,31,5,0.817,0.791,86.2973
garland--utah--united-states,2026-08-17,2983,2983,0.8242,0.848,0.867,0.883,0.896,7.5763,0.0,12,0,0,0.8505,0.863,0.8735,2983,0,0.0,,0.867,0,12,,0.863,0,0,,0.867,0,12,,0.863,0.0
gary--indiana--united-states,2026-08-17,32572,32572,0.788,0.835,0.876,0.901,0.914,26.4184,0.3653,25,0,0,0.86,0.882,0.899,32572,213,0.6539,0.705,0.876,1,24,0.705,0.8835,4576,1,0.827,0.884,2,23,0.8275,0.885,14.0489
girona--catalonia--spain,2026-08-17,224,224,0.1583,0.2213,0.3065,0.5628,0.6847,0.0,76.3393,3,0,0,0.4062,0.507,0.5905,224,224,100.0,0.3065,,3,0,0.507,,0,0,,0.3065,0,3,,0.507,0.0
glendale--colorado--united-states,2026-08-17,3082,3082,0.857,0.875,0.89,0.904,0.914,30.7268,0.0,27,0,0,0.88,0.893,0.8968,3082,0,0.0,,0.89,0,27,,0.893,746,1,0.889,0.891,5,22,0.893,0.892,24.2051
glendale-heights--illinois--united-states,2026-08-12,2157,2157,0.855,0.872,0.889,0.902,0.911,29.1145,0.0,5,0,0,0.891,0.894,0.899,2157,0,0.0,,0.889,0,5,,0.894,0,0,,0.889,0,5,,0.894,0.0
glendora--california--united-states,2026-08-12,6142,6142,0.708,0.875,0.916,0.931,0.938,66.0371,1.6933,9,0,0,0.705,0.719,0.9125,6142,1128,18.3654,0.703,0.923,5,4,0.705,0.9178,5014,1,0.923,0.703,4,5,0.9178,0.705,81.6346
goiânia--goiás--brazil,2026-08-05,17260,17260,0.782,0.817,0.854,0.895,0.922,22.8447,0.0174,118,0,0,0.8136,0.84,0.8891,17260,21,0.1217,0.753,0.854,1,117,0.753,0.841,0,0,,0.854,0,118,,0.84,0.0
granada--andalusia--spain,2026-08-13,2154,2154,0.799,0.835,0.864,0.888,0.9027,12.0706,1.4856,18,0,0,0.8199,0.8555,0.8741,2154,104,4.8282,0.7435,0.866,4,14,0.7245,0.862,0,0,,0.864,0,18,,0.8555,0.0
grand-marais--minnesota--united-states,2026-08-12,4949,4949,0.858,0.875,0.893,0.907,0.917,38.3916,0.0,15,0,0,0.875,0.885,0.896,4949,0,0.0,,0.893,0,15,,0.885,0,0,,0.893,0,15,,0.885,0.0
grand-rapids--minnesota--united-states,2026-08-12,3671,3671,0.75,0.773,0.858,0.888,0.921,17.2977,0.0,9,0,0,0.867,0.874,0.881,3671,0,0.0,,0.858,0,9,,0.874,1510,1,0.767,0.883,2,7,0.7645,0.879,41.1332
greenville--mississippi--united-states,2026-08-13,3944,3944,0.575,0.621,0.667,0.71,0.745,0.0,16.6836,6,0,0,0.6475,0.6885,0.7055,3944,0,0.0,,0.667,0,6,,0.6885,0,0,,0.667,0,6,,0.6885,0.0
griswold--connecticut--united-states,2026-08-13,74811,74811,0.687,0.743,0.806,0.86,0.887,4.4445,0.8675,443,0,0,0.75,0.817,0.866,74811,0,0.0,,0.806,0,443,,0.817,388,1,0.836,0.806,7,436,0.841,0.815,0.5186
groton--connecticut--united-states,2026-08-13,115703,115703,0.735,0.783,0.818,0.857,0.888,5.3897,3.897,810,0,0,0.793,0.8222,0.861,115703,0,0.0,,0.818,0,810,,0.8222,1679,1,0.874,0.817,12,798,0.8785,0.822,1.4511
hagerstown--maryland--united-states,2026-08-12,2937,2937,0.822,0.837,0.85,0.861,0.873,0.9534,0.0,11,0,0,0.835,0.844,0.862,2937,0,0.0,,0.85,0,11,,0.844,2937,1,0.85,,11,0,0.844,,100.0
haifa--haifa-district--israel,2026-08-12,104092,104092,0.816,0.849,0.877,0.898,0.913,23.8356,0.1527,311,0,0,0.854,0.8765,0.889,104092,14,0.0134,0.249,0.877,4,307,0.3728,0.877,11,1,0.792,0.877,1,310,0.792,0.8768,0.0106
hallowell--maine--united-states,2026-08-12,25467,25467,0.7696,0.819,0.848,0.869,0.885,2.8429,0.3338,179,0,0,0.8362,0.854,0.8695,25467,17,0.0668,0.682,0.848,1,178,0.682,0.854,9814,1,0.854,0.843,70,109,0.86,0.849,38.5361
hamilton--iowa--united-states,2026-08-12,60,60,0.7349,0.739,0.744,0.75,0.7561,0.0,0.0,1,0,0,0.744,0.744,0.744,60,0,0.0,,0.744,0,1,,0.744,0,0,,0.744,0,1,,0.744,0.0
hamilton--washington--united-states,2026-08-12,732,732,0.6111,0.682,0.774,0.793,0.811,0.0,8.4699,6,0,0,0.7688,0.784,0.7895,732,0,0.0,,0.774,0,6,,0.784,0,0,,0.774,0,6,,0.784,0.0
hammond--indiana--united-states,2026-08-12,1995,1995,0.786,0.799,0.81,0.822,0.835,0.0,0.4511,4,0,0,0.829,0.839,0.844,1995,0,0.0,,0.81,0,4,,0.839,1834,1,0.808,0.846,2,2,0.822,0.846,91.9298
hampstead--maryland--united-states,2026-08-12,28,28,0.8087,0.8247,0.8475,0.8695,0.8814,0.0,0.0,1,0,0,0.8475,0.8475,0.8475,28,0,0.0,,0.8475,0,1,,0.8475,28,1,0.8475,,1,0,0.8475,,100.0
hamtramck--michigan--united-states,2026-08-12,300997,300997,0.855,0.878,0.897,0.914,0.926,46.9171,0.2794,1540,0,0,0.882,0.896,0.908,300997,0,0.0,,0.897,0,1540,,0.896,139153,1,0.899,0.897,547,993,0.8955,0.896,46.2307
hardin--montana--united-states,2026-08-12,1039,1039,0.8618,0.868,0.874,0.88,0.888,0.0962,0.0,4,0,0,0.8735,0.875,0.875,1039,0,0.0,,0.874,0,4,,0.875,810,1,0.873,0.875,3,1,0.875,0.875,77.9596
harper-woods--michigan--united-states,2026-08-12,192846,192846,0.856,0.877,0.895,0.908,0.918,40.7066,0.0057,1020,0,0,0.882,0.895,0.905,192846,0,0.0,,0.895,0,1020,,0.895,71653,1,0.895,0.895,294,726,0.893,0.896,37.1556
harpers-ferry--west-virginia--united-states,2026-08-12,275,275,0.75,0.768,0.792,0.8185,0.8396,0.0,1.0909,5,0,0,0.7775,0.795,0.795,275,19,6.9091,0.75,0.7935,1,4,0.75,0.795,0,0,,0.792,0,5,,0.795,0.0
harrisburg--pennsylvania--united-states,2026-08-12,3441,3441,0.569,0.695,0.837,0.868,0.886,0.959,14.1238,11,0,0,0.662,0.8325,0.8515,3441,0,0.0,,0.837,0,11,,0.8325,0,0,,0.837,0,11,,0.8325,0.0
hartford--connecticut--united-states,2026-08-12,193255,193255,0.756,0.812,0.854,0.885,0.906,13.9976,2.8863,1697,0,0,0.814,0.8505,0.879,193255,2850,1.4747,0.824,0.855,14,1683,0.8357,0.851,13743,2,0.881,0.852,200,1497,0.8835,0.846,7.1113
healdsburg--california--united-states,2026-08-12,8382,8382,0.771,0.8,0.843,0.882,0.897,7.8621,0.0835,39,0,0,0.8155,0.832,0.8758,8382,0,0.0,,0.843,0,39,,0.832,0,0,,0.843,0,39,,0.832,0.0
henlopen-acres--delaware--united-states,2026-08-12,2644,2644,0.791,0.817,0.846,0.879,0.902,11.3464,0.0,13,0,0,0.828,0.876,0.888,2644,0,0.0,,0.846,0,13,,0.876,0,0,,0.846,0,13,,0.876,0.0
heritage-creek--kentucky--united-states,2026-08-18,2,2,0.821,0.821,0.821,0.821,0.821,0.0,0.0,1,0,0,0.821,0.821,0.821,2,0,0.0,,0.821,0,1,,0.821,2,1,0.821,,1,0,0.821,,100.0
hickory-flat--mississippi--united-states,2026-08-18,1729,1729,0.823,0.848,0.863,0.874,0.883,0.694,0.0,7,0,0,0.854,0.854,0.864,1729,0,0.0,,0.863,0,7,,0.854,1636,1,0.863,0.854,5,2,0.858,0.854,94.6212
ho-chi-minh-city--vietnam,2026-08-18,3686955,3686955,0.778,0.81,0.84,0.865,0.884,3.2984,0.7017,5480,0,0,0.822,0.838,0.853,3686955,1205,0.0327,0.819,0.84,57,5423,0.575,0.838,3676436,1,0.84,0.818,5382,98,0.838,0.5625,99.7147
holbrook--arizona--united-states,2026-08-18,2967,2967,0.889,0.899,0.913,0.924,0.93,74.5534,0.0,4,0,0,0.8998,0.907,0.9153,2967,0,0.0,,0.913,0,4,,0.907,2967,1,0.913,,4,0,0.907,,100.0
holly-ridge--north-carolina--united-states,2026-08-18,2150,2150,0.852,0.88,0.906,0.92,0.927,57.5349,0.0,6,0,0,0.9008,0.908,0.9175,2150,0,0.0,,0.906,0,6,,0.908,0,0,,0.906,0,6,,0.908,0.0
holyoke--massachusetts--united-states,2026-08-18,489,489,0.654,0.794,0.844,0.872,0.8822,2.454,0.0,6,0,0,0.82,0.854,0.8704,489,0,0.0,,0.844,0,6,,0.854,464,1,0.843,0.847,5,1,0.861,0.847,94.8875
homer--alaska--united-states,2026-08-18,2107,2107,0.806,0.821,0.836,0.851,0.862,0.0,0.0,36,0,0,0.8237,0.838,0.852,2107,0,0.0,,0.836,0,36,,0.838,0,0,,0.836,0,36,,0.838,0.0
honolulu--hawaii--united-states,2026-08-18,221909,221909,0.743,0.796,0.833,0.861,0.888,6.6068,0.7697,388,0,0,0.8048,0.833,0.857,221909,533,0.2402,0.807,0.833,14,374,0.7898,0.834,221376,1,0.833,0.807,374,14,0.834,0.7898,99.7598
hopkinsville--kentucky--united-states,2026-08-19,189,189,0.718,0.726,0.74,0.751,0.7626,0.0,0.0,2,0,0,0.7225,0.729,0.7355,189,0,0.0,,0.74,0,2,,0.729,0,0,,0.74,0,2,,0.729,0.0
horace--north-dakota--united-states,2026-08-19,1153,1153,0.814,0.833,0.87,0.886,0.9,10.4076,0.0,6,0,0,0.8396,0.8682,0.8838,1153,0,0.0,,0.87,0,6,,0.8682,0,0,,0.87,0,6,,0.8682,0.0
houston--texas--united-states,2026-08-19,2427480,2427480,0.749,0.78,0.813,0.842,0.863,0.4259,0.2138,29834,0,0,0.785,0.8135,0.8395,2427480,8269,0.3406,0.762,0.813,98,29736,0.785,0.8135,0,0,,0.813,0,29834,,0.8135,0.0
hueytown--alabama--united-states,2026-08-19,542,542,0.71,0.729,0.784,0.814,0.83,0.0,0.1845,4,0,0,0.7715,0.8005,0.8152,542,0,0.0,,0.784,0,4,,0.8005,0,0,,0.784,0,4,,0.8005,0.0
huntington--west-virginia--united-states,2026-08-19,693,693,0.493,0.581,0.64,0.688,0.709,0.0,30.8802,4,0,0,0.639,0.6643,0.6675,693,0,0.0,,0.64,0,4,,0.6643,0,0,,0.64,0,4,,0.6643,0.0
huntley--illinois--united-states,2026-08-19,1479,1479,0.882,0.896,0.908,0.919,0.928,68.0189,0.2028,3,0,0,0.8588,0.861,0.885,1479,0,0.0,,0.908,0,3,,0.861,0,0,,0.908,0,3,,0.861,0.0
hurt--virginia--united-states,2026-08-20,15,15,0.8188,0.832,0.847,0.864,0.888,0.0,0.0,1,0,0,0.847,0.847,0.847,15,0,0.0,,0.847,0,1,,0.847,15,1,0.847,,1,0,0.847,,100.0
hyrum--utah--united-states,2026-08-20,659,659,0.829,0.837,0.849,0.867,0.878,0.1517,0.0,7,0,0,0.851,0.867,0.871,659,0,0.0,,0.849,0,7,,0.867,0,0,,0.849,0,7,,0.867,0.0
hà-nội--vietnam,2026-08-20,1294084,1294084,0.715,0.763,0.802,0.836,0.863,1.2212,3.3936,2444,0,0,0.767,0.8025,0.826,1294084,34,0.0026,0.815,0.802,5,2439,0.73,0.803,1223098,1,0.802,0.805,2281,163,0.801,0.827,94.5146
indianapolis--indiana--united-states,2026-08-20,76672,76672,0.752,0.808,0.852,0.881,0.898,9.0894,0.39,1508,0,0,0.868,0.885,0.896,76672,1,0.0013,0.703,0.852,1,1507,0.703,0.885,3277,1,0.824,0.853,3,1505,0.822,0.885,4.2741
interlaken--new-jersey--united-states,2026-08-20,2224,2224,0.746,0.7658,0.787,0.807,0.823,0.0,0.0,2,0,0,0.7866,0.7873,0.7879,2224,0,0.0,,0.787,0,2,,0.7873,0,0,,0.787,0,2,,0.7873,0.0
international-falls--minnesota--united-states,2026-08-20,1849,1849,0.771,0.794,0.812,0.829,0.8422,0.0541,0.0,14,0,0,0.802,0.8227,0.8325,1849,106,5.7328,0.831,0.812,6,8,0.832,0.816,0,0,,0.812,0,14,,0.8227,0.0
istanbul--marmara-region--turkey,2026-08-20,253380,253380,0.833,0.866,0.887,0.903,0.915,30.6102,1.4666,685,0,0,0.876,0.888,0.897,253380,1817,0.7171,0.735,0.888,10,675,0.698,0.8885,225565,3,0.888,0.884,608,77,0.8885,0.885,89.0224
ithaca--michigan--united-states,2026-08-20,370,370,0.816,0.822,0.829,0.837,0.843,0.0,0.0,1,0,0,0.829,0.829,0.829,370,0,0.0,,0.829,0,1,,0.829,0,0,,0.829,0,1,,0.829,0.0
jeffersonville--kentucky--united-states,2026-08-12,2,2,0.824,0.824,0.824,0.824,0.824,0.0,0.0,2,0,0,0.824,0.824,0.824,2,0,0.0,,0.824,0,2,,0.824,2,2,0.824,,2,0,0.824,,100.0
kalama--washington--united-states,2026-08-12,282,282,0.846,0.866,0.881,0.891,0.898,7.8014,0.0,4,0,0,0.8719,0.8728,0.8765,282,0,0.0,,0.881,0,4,,0.8728,0,0,,0.881,0,4,,0.8728,0.0
kalamazoo--michigan--united-states,2026-08-13,9446,9446,0.691,0.754,0.814,0.872,0.889,4.097,1.1645,14,0,0,0.727,0.8085,0.8545,9446,0,0.0,,0.814,0,14,,0.8085,0,0,,0.814,0,14,,0.8085,0.0
kearns--utah--united-states,2026-08-12,67504,67504,0.886,0.904,0.918,0.929,0.938,80.2249,0.0148,86,0,0,0.9106,0.917,0.921,67504,0,0.0,,0.918,0,86,,0.917,0,0,,0.918,0,86,,0.917,0.0
kelleys-island--ohio--united-states,2026-08-12,17,17,0.8198,0.821,0.833,0.843,0.848,0.0,0.0,1,0,0,0.833,0.833,0.833,17,17,100.0,0.833,,1,0,0.833,,0,0,,0.833,0,1,,0.833,0.0
kelso--washington--united-states,2026-08-12,200,200,0.6234,0.6648,0.706,0.7385,0.7693,0.0,5.5,1,0,0,0.706,0.706,0.706,200,0,0.0,,0.706,0,1,,0.706,0,0,,0.706,0,1,,0.706,0.0
kennewick--washington--united-states,2026-08-12,10965,10965,0.777,0.811,0.858,0.881,0.899,9.4026,0.0,25,0,0,0.854,0.868,0.8735,10965,0,0.0,,0.858,0,25,,0.868,0,0,,0.858,0,25,,0.868,0.0
kenton-county--kentucky--united-states,2026-08-23,95790,95790,0.809,0.842,0.871,0.895,0.91,19.4916,0.0021,392,0,0,0.8474,0.876,0.895,95790,0,0.0,,0.871,0,392,,0.876,70113,2,0.88,0.854,303,89,0.885,0.854,73.1945
ketchikan--alaska--united-states,2026-08-12,10929,10929,0.755,0.781,0.808,0.833,0.854,0.3568,0.3385,25,0,0,0.782,0.799,0.828,10929,1,0.0091,0.542,0.808,1,24,0.542,0.799,0,0,,0.808,0,25,,0.799,0.0
keyport--new-jersey--united-states,2026-08-12,8,8,0.7674,0.7718,0.7745,0.7945,0.8065,0.0,0.0,1,0,0,0.7745,0.7745,0.7745,8,0,0.0,,0.7745,0,1,,0.7745,0,0,,0.7745,0,1,,0.7745,0.0
keystone--south-dakota--united-states,2026-08-12,1656,1656,0.7685,0.798,0.824,0.847,0.873,1.7512,0.0,5,0,0,0.817,0.825,0.841,1656,0,0.0,,0.824,0,5,,0.825,215,1,0.779,0.829,1,4,0.779,0.833,12.9831
kildeer--illinois--united-states,2026-08-23,86,86,0.6585,0.691,0.714,0.728,0.742,0.0,0.0,1,0,0,0.714,0.714,0.714,86,86,100.0,0.714,,1,0,0.714,,0,0,,0.714,0,1,,0.714,0.0
